client_timestamp,x,y,button,state,window
1577769960.981,403,133,None,Move,file system
1577769961.021,263,110,None,Move,file system
1577769961.1120002,320,433,None,Move,file system
1577769961.159,554,811,None,Move,file system
1577769961.1920002,608,972,None,Move,file system
1577769961.2570002,585,953,None,Move,file system
1577769961.333,546,789,None,Move,file system
1577769961.375,546,754,None,Move,file system
1577769961.3879998,548,747,None,Move,file system
1577769961.46,554,716,None,Move,file system
1577769961.4910002,554,715,None,Move,file system
1577769961.515,557,712,None,Move,file system
1577769961.538,563,706,None,Move,file system
1577769961.552,566,703,None,Move,file system
1577769961.562,573,694,None,Move,file system
1577769961.576,577,686,None,Move,file system
1577769961.586,578,681,None,Move,file system
1577769961.597,580,676,None,Move,file system
1577769961.6179998,584,656,None,Move,file system
1577769961.6320002,585,649,None,Move,file system
1577769961.644,588,636,None,Move,file system
1577769961.655,589,621,None,Move,file system
1577769961.668,589,615,None,Move,file system
1577769961.677,588,611,None,Move,file system
1577769961.687,586,607,None,Move,file system
1577769961.698,584,605,None,Move,file system
1577769961.71,577,598,None,Move,file system
1577769961.719,574,596,None,Move,file system
1577769961.731,563,593,None,Move,file system
1577769961.742,560,592,None,Move,file system
1577769961.7570002,552,592,None,Move,file system
1577769961.792,551,592,None,Move,file system
1577769961.863,543,587,None,Move,file system
1577769961.8839998,541,583,None,Move,file system
1577769961.9,540,583,None,Move,file system
1577769968.093,537,582,None,Move,file system
1577769968.101,530,576,None,Move,file system
1577769968.1120002,521,569,None,Move,file system
1577769968.123,513,561,None,Move,file system
1577769968.131,506,553,None,Move,file system
1577769968.14,490,530,None,Move,file system
1577769968.149,480,514,None,Move,file system
1577769968.156,470,496,None,Move,file system
1577769968.164,459,477,None,Move,file system
1577769968.171,446,459,None,Move,file system
1577769968.179,431,442,None,Move,file system
1577769968.186,415,428,None,Move,file system
1577769968.194,399,418,None,Move,file system
1577769968.201,383,409,None,Move,file system
1577769968.209,369,402,None,Move,file system
1577769968.217,361,396,None,Move,file system
1577769968.225,358,390,None,Move,file system
1577769968.2329998,355,386,None,Move,file system
1577769968.2410002,354,385,None,Move,file system
1577769968.279,355,384,None,Move,file system
1577769968.2870002,363,384,None,Move,file system
1577769968.295,372,384,None,Move,file system
1577769968.303,380,382,None,Move,file system
1577769968.3079998,394,379,None,Move,file system
1577769968.3170002,411,374,None,Move,file system
1577769968.325,430,367,None,Move,file system
1577769968.333,454,360,None,Move,file system
1577769968.341,481,352,None,Move,file system
1577769968.3479998,511,344,None,Move,file system
1577769968.357,540,334,None,Move,file system
1577769968.365,568,325,None,Move,file system
1577769968.3720002,598,315,None,Move,file system
1577769968.379,626,305,None,Move,file system
1577769968.387,651,296,None,Move,file system
1577769968.395,671,288,None,Move,file system
1577769968.403,689,279,None,Move,file system
1577769968.411,704,271,None,Move,file system
1577769968.419,716,265,None,Move,file system
1577769968.426,726,260,None,Move,file system
1577769968.4329998,733,256,None,Move,file system
1577769968.441,739,253,None,Move,file system
1577769968.449,744,250,None,Move,file system
1577769968.457,749,248,None,Move,file system
1577769968.465,751,246,None,Move,file system
1577769968.472,752,245,None,Move,file system
1577769968.481,753,245,None,Move,file system
1577769968.535,752,245,None,Move,file system
1577769968.627,754,245,None,Move,file system
1577769968.635,757,243,None,Move,file system
1577769968.643,762,241,None,Move,file system
1577769968.651,769,237,None,Move,file system
1577769968.659,774,234,None,Move,file system
1577769968.666,781,228,None,Move,file system
1577769968.673,789,219,None,Move,file system
1577769968.681,797,211,None,Move,file system
1577769968.689,805,203,None,Move,file system
1577769968.697,815,193,None,Move,file system
1577769968.705,825,181,None,Move,file system
1577769968.712,836,166,None,Move,file system
1577769968.721,844,152,None,Move,file system
1577769968.728,852,136,None,Move,file system
1577769968.735,855,122,None,Move,file system
1577769968.7429998,855,109,None,Move,file system
1577769968.7510002,854,101,None,Move,file system
1577769968.7589998,852,95,None,Move,file system
1577769968.7670002,847,89,None,Move,file system
1577769968.775,843,87,None,Move,file system
1577769968.782,841,86,None,Move,file system
1577769968.789,840,86,None,Move,file system
1577769968.7970002,839,86,None,Move,file system
1577769969.0370002,839,86,Left,Pressed,file system
1577769969.131,839,86,Left,Released,entertainment
1577769969.185,838,86,None,Move,entertainment
1577769969.246,837,87,None,Move,entertainment
1577769969.282,832,94,None,Move,entertainment
1577769969.298,828,102,None,Move,entertainment
1577769969.3070002,826,109,None,Move,entertainment
1577769969.3170002,824,126,None,Move,entertainment
1577769969.326,824,137,None,Move,entertainment
1577769969.336,824,149,None,Move,entertainment
1577769969.3520002,828,176,None,Move,entertainment
1577769969.36,830,191,None,Move,entertainment
1577769969.369,834,205,None,Move,entertainment
1577769969.377,841,236,None,Move,entertainment
1577769969.385,846,249,None,Move,entertainment
1577769969.393,849,263,None,Move,entertainment
1577769969.401,853,276,None,Move,entertainment
1577769969.408,856,291,None,Move,entertainment
1577769969.417,857,304,None,Move,entertainment
1577769969.425,859,319,None,Move,entertainment
1577769969.4329998,860,332,None,Move,entertainment
1577769969.441,861,346,None,Move,entertainment
1577769969.448,862,357,None,Move,entertainment
1577769969.456,863,369,None,Move,entertainment
1577769969.4629998,864,379,None,Move,entertainment
1577769969.471,864,389,None,Move,entertainment
1577769969.48,864,399,None,Move,entertainment
1577769969.494,864,408,None,Move,entertainment
1577769969.5029998,862,426,None,Move,entertainment
1577769969.512,860,436,None,Move,entertainment
1577769969.518,859,445,None,Move,entertainment
1577769969.525,857,455,None,Move,entertainment
1577769969.532,854,467,None,Move,entertainment
1577769969.541,853,479,None,Move,entertainment
1577769969.549,851,490,None,Move,entertainment
1577769969.5570002,850,504,None,Move,entertainment
1577769969.563,849,517,None,Move,entertainment
1577769969.57,849,531,None,Move,entertainment
1577769969.579,848,544,None,Move,entertainment
1577769969.587,847,559,None,Move,entertainment
1577769969.595,846,575,None,Move,entertainment
1577769969.603,844,591,None,Move,entertainment
1577769969.61,840,607,None,Move,entertainment
1577769969.617,835,621,None,Move,entertainment
1577769969.625,829,636,None,Move,entertainment
1577769969.633,824,649,None,Move,entertainment
1577769969.641,818,663,None,Move,entertainment
1577769969.649,813,674,None,Move,entertainment
1577769969.657,806,685,None,Move,entertainment
1577769969.665,798,695,None,Move,entertainment
1577769969.673,788,704,None,Move,entertainment
1577769969.687,766,719,None,Move,entertainment
1577769969.694,755,725,None,Move,entertainment
1577769969.7029998,740,733,None,Move,entertainment
1577769969.711,727,739,None,Move,entertainment
1577769969.719,712,747,None,Move,entertainment
1577769969.7270002,699,755,None,Move,entertainment
1577769969.734,686,761,None,Move,entertainment
1577769969.744,672,768,None,Move,entertainment
1577769969.7510002,660,773,None,Move,entertainment
1577769969.7570002,647,778,None,Move,entertainment
1577769969.765,636,782,None,Move,entertainment
1577769969.772,627,786,None,Move,entertainment
1577769969.781,621,787,None,Move,entertainment
1577769969.789,617,788,None,Move,entertainment
1577769969.9889998,614,788,None,Move,entertainment
1577769969.9970002,607,790,None,Move,entertainment
1577769970.005,600,793,None,Move,entertainment
1577769970.0129998,593,797,None,Move,entertainment
1577769970.021,583,803,None,Move,entertainment
1577769970.029,573,809,None,Move,entertainment
1577769970.0370002,560,816,None,Move,entertainment
1577769970.044,543,825,None,Move,entertainment
1577769970.053,524,834,None,Move,entertainment
1577769970.06,503,842,None,Move,entertainment
1577769970.0679998,483,849,None,Move,entertainment
1577769970.074,466,854,None,Move,entertainment
1577769970.094,441,865,None,Move,entertainment
1577769970.11,430,874,None,Move,entertainment
1577769970.1160002,430,878,None,Move,entertainment
1577769970.1220002,430,881,None,Move,entertainment
1577769970.129,432,888,None,Move,entertainment
1577769970.137,434,895,None,Move,entertainment
1577769970.145,438,904,None,Move,entertainment
1577769970.151,439,913,None,Move,entertainment
1577769970.158,439,921,None,Move,entertainment
1577769970.167,439,927,None,Move,entertainment
