PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
232995	2493350	I am trying again.	I am trying again.	118420807	1475176682736	1475176683149	SHIFT	16
232995	2493350	I am trying again.	I am trying again.	118420804	1475176682923	1475176683046	A	65
232995	2493350	I am trying again.	I am trying again.	118420810	1475176683297	1475176683366	BKSP	8
232995	2493350	I am trying again.	I am trying again.	118420813	1475176683403	1475176683569	SHIFT	16
232995	2493350	I am trying again.	I am trying again.	118420816	1475176683522	1475176683616	I	73
232995	2493350	I am trying again.	I am trying again.	118420819	1475176683660	1475176683774	 	32
232995	2493350	I am trying again.	I am trying again.	118420822	1475176683774	1475176683867	a	65
232995	2493350	I am trying again.	I am trying again.	118420832	1475176683866	1475176683988	m	77
232995	2493350	I am trying again.	I am trying again.	118420835	1475176683987	1475176684048	 	32
232995	2493350	I am trying again.	I am trying again.	118420839	1475176684029	1475176684106	t	84
232995	2493350	I am trying again.	I am trying again.	118420844	1475176684203	1475176684297	r	82
232995	2493350	I am trying again.	I am trying again.	118420849	1475176684273	1475176684378	y	89
232995	2493350	I am trying again.	I am trying again.	118420881	1475176684374	1475176684532	i	73
232995	2493350	I am trying again.	I am trying again.	118420886	1475176684489	1475176684617	n	78
232995	2493350	I am trying again.	I am trying again.	118420890	1475176684617	1475176684686	g	71
232995	2493350	I am trying again.	I am trying again.	118420894	1475176684919	1475176685025	 	32
232995	2493350	I am trying again.	I am trying again.	118420899	1475176685064	1475176685187	a	65
232995	2493350	I am trying again.	I am trying again.	118420901	1475176685411	1475176685500	g	71
232995	2493350	I am trying again.	I am trying again.	118420938	1475176685548	1475176685670	a	65
232995	2493350	I am trying again.	I am trying again.	118420942	1475176685621	1475176685723	i	73
232995	2493350	I am trying again.	I am trying again.	118420947	1475176685688	1475176685782	n	78
232995	2493350	I am trying again.	I am trying again.	118420951	1475176685979	1475176686057	/	191
232995	2493350	I am trying again.	I am trying again.	118420953	1475176686414	1475176686466	BKSP	8
232995	2493350	I am trying again.	I am trying again.	118420958	1475176686669	1475176686748	.	190
232995	2493360	This is the crew.	This is the crew.  	118421067	1475176688546	1475176688748	SHIFT	16
232995	2493360	This is the crew.	This is the crew.  	118421070	1475176688718	1475176688810	T	84
232995	2493360	This is the crew.	This is the crew.  	118421073	1475176688777	1475176688896	h	72
232995	2493360	This is the crew.	This is the crew.  	118421075	1475176688863	1475176688965	i	73
232995	2493360	This is the crew.	This is the crew.  	118421077	1475176688965	1475176689052	s	83
232995	2493360	This is the crew.	This is the crew.  	118421081	1475176689048	1475176689137	 	32
232995	2493360	This is the crew.	This is the crew.  	118421083	1475176689111	1475176689204	i	73
232995	2493360	This is the crew.	This is the crew.  	118421087	1475176689204	1475176689298	s	83
232995	2493360	This is the crew.	This is the crew.  	118421090	1475176689317	1475176689403	 	32
232995	2493360	This is the crew.	This is the crew.  	118421094	1475176689404	1475176689479	t	84
232995	2493360	This is the crew.	This is the crew.  	118421116	1475176689477	1475176689572	h	72
232995	2493360	This is the crew.	This is the crew.  	118421119	1475176689528	1475176689618	e	69
232995	2493360	This is the crew.	This is the crew.  	118421121	1475176689615	1475176689728	 	32
232995	2493360	This is the crew.	This is the crew.  	118421122	1475176689728	1475176689812	c	67
232995	2493360	This is the crew.	This is the crew.  	118421123	1475176689918	1475176690013	r	82
232995	2493360	This is the crew.	This is the crew.  	118421157	1475176689979	1475176690098	e	69
232995	2493360	This is the crew.	This is the crew.  	118421161	1475176690081	1475176690185	w	87
232995	2493360	This is the crew.	This is the crew.  	118421166	1475176690230	1475176690355	.	190
