PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485732	1472360410954	1472360411369	SHIFT	16
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485730	1472360411159	1472360411259	T	84
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485738	1472360411412	1472360411543	h	72
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485743	1472360411557	1472360411701	a	65
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485749	1472360411853	1472360412124	n	78
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485907	1472360412112	1472360412340	k	75
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485908	1472360412376	1472360412526	 	32
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485910	1472360413349	1472360413486	f	70
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485912	1472360414197	1472360414271	BKSP	8
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485914	1472360414514	1472360414620	BKSP	8
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485916	1472360414682	1472360414794	BKSP	8
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485918	1472360416034	1472360416164	k	75
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485919	1472360416137	1472360416287	s	83
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485921	1472360416306	1472360416443	 	32
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485979	1472360416485	1472360416634	f	70
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485981	1472360416577	1472360416745	o	79
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485985	1472360416882	1472360416953	 	32
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485988	1472360416940	1472360417071	r	82
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485991	1472360417326	1472360417394	BKSP	8
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485995	1472360417610	1472360417713	BKSP	8
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17485998	1472360417793	1472360417945	r	82
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17486025	1472360417967	1472360418113	 	32
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17486027	1472360418728	1472360418858	y	89
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17486030	1472360418807	1472360419024	o	79
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17486032	1472360418917	1472360419096	u	85
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17486034	1472360419111	1472360419245	r	82
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17486056	1472360419287	1472360419396	 	32
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17486057	1472360419448	1472360419594	h	72
34109	367899	Thanks for your help in quickly setting this up.	Thanks for your help in quickly setting this up.	17486059	1472360419624	1472360419771	e	69
