PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
21206	228255	We could do it at my house.	We could do it at my house.	10849446	1472166432957	1472166433413	SHIFT	16
21206	228255	We could do it at my house.	We could do it at my house.	10849449	1472166433301	1472166433428	W	87
21206	228255	We could do it at my house.	We could do it at my house.	10849456	1472166433557	1472166433669	e	69
21206	228255	We could do it at my house.	We could do it at my house.	10849458	1472166433709	1472166433852	 	32
21206	228255	We could do it at my house.	We could do it at my house.	10849461	1472166433821	1472166433972	c	67
21206	228255	We could do it at my house.	We could do it at my house.	10849505	1472166433884	1472166434044	o	79
21206	228255	We could do it at my house.	We could do it at my house.	10849511	1472166433996	1472166434116	u	85
21206	228255	We could do it at my house.	We could do it at my house.	10849516	1472166434237	1472166434340	l	76
21206	228255	We could do it at my house.	We could do it at my house.	10849520	1472166434421	1472166434517	d	68
21206	228255	We could do it at my house.	We could do it at my house.	10849524	1472166434540	1472166434692	 	32
21206	228255	We could do it at my house.	We could do it at my house.	10849529	1472166434804	1472166434964	d	68
21206	228255	We could do it at my house.	We could do it at my house.	10849540	1472166434892	1472166435012	o	79
21206	228255	We could do it at my house.	We could do it at my house.	10849545	1472166435004	1472166435108	 	32
21206	228255	We could do it at my house.	We could do it at my house.	10849548	1472166435052	1472166435236	i	73
21206	228255	We could do it at my house.	We could do it at my house.	10849556	1472166435172	1472166435285	t	84
21206	228255	We could do it at my house.	We could do it at my house.	10849564	1472166435285	1472166435420	 	32
21206	228255	We could do it at my house.	We could do it at my house.	10849612	1472166435405	1472166435556	a	65
21206	228255	We could do it at my house.	We could do it at my house.	10849615	1472166435557	1472166435668	t	84
21206	228255	We could do it at my house.	We could do it at my house.	10849619	1472166435660	1472166435836	 	32
21206	228255	We could do it at my house.	We could do it at my house.	10849627	1472166435804	1472166435868	m	77
21206	228255	We could do it at my house.	We could do it at my house.	10849631	1472166436020	1472166436116	y	89
21206	228255	We could do it at my house.	We could do it at my house.	10849636	1472166436172	1472166436300	 	32
21206	228255	We could do it at my house.	We could do it at my house.	10849656	1472166436276	1472166436308	h	72
21206	228255	We could do it at my house.	We could do it at my house.	10849658	1472166436340	1472166436548	o	79
21206	228255	We could do it at my house.	We could do it at my house.	10849663	1472166436452	1472166436596	u	85
21206	228255	We could do it at my house.	We could do it at my house.	10849666	1472166436596	1472166436756	s	83
21206	228255	We could do it at my house.	We could do it at my house.	10849670	1472166436684	1472166436812	e	69
21206	228255	We could do it at my house.	We could do it at my house.	10849675	1472166436813	1472166436892	.	190
21206	228263	Sorry for the unfriendly greeting in the lobby.	Sorry for the unfriendly greeting in the lobby.	10849843	1472166438524	1472166438732	SHIFT	16
21206	228263	Sorry for the unfriendly greeting in the lobby.	Sorry for the unfriendly greeting in the lobby.	10849845	1472166438604	1472166438780	S	83
21206	228263	Sorry for the unfriendly greeting in the lobby.	Sorry for the unfriendly greeting in the lobby.	10849849	1472166438780	1472166438876	o	79
21206	228263	Sorry for the unfriendly greeting in the lobby.	Sorry for the unfriendly greeting in the lobby.	10849855	1472166438916	1472166438988	r	82
21206	228263	Sorry for the unfriendly greeting in the lobby.	Sorry for the unfriendly greeting in the lobby.	10849859	1472166439092	1472166439244	r	82
21206	228263	Sorry for the unfriendly greeting in the lobby.	Sorry for the unfriendly greeting in the lobby.	10849915	1472166439204	1472166439368	y	89
